0,2.3887417218543,-14.4597130242826,1.9158940397351,-12.273289183223,5.5560706401766,-14.255408388521,-0.0519047619047619,-0.47843137254902,1.32251655629139,-25.5034216335541
3.6,4.64921171171171,-14.635,2.92966666666667,-11.2864444444444,6.59611111111111,-15.5634444444444,5.94577777777778,-17.1118888888889,4.40988888888889,-25.2981111111111
7.2,4.85844444444445,-14.9024444444444,3.96533333333333,-12.3872222222222,7.70411111111111,-14.9944444444444,8.82655555555556,-19.5883333333333,5.61155555555556,-24.4491111111111
10.8,5.30722222222222,-13.6035555555556,4.71344444444444,-12.5982222222222,9.14755555555555,-15.1686666666667,9.04222222222222,-19.3568232662192,7.94977777777778,-23.3353333333333
14.4,6.18744444444444,-12.6777027027027,5.90677777777778,-10.7812222222222,10.8741111111111,-14.5911111111111,11.7904444444444,-18.7244444444444,9.37877777777778,-22.5263333333333
18,7.37077777777778,-12.2052222222222,6.26333333333333,-10.6547777777778,10.1806666666667,-12.8666666666667,12.8105555555556,-17.179,11.9348888888889,-20.2937777777778
21.6,8.11466666666666,-11.0332222222222,6.78333333333333,-9.66633333333333,11.957,-13.2145555555556,15.0553333333333,-17.2197777777778,12.0576666666667,-20.1432222222222
25.2,10.763,-11.3898888888889,7.42833333333333,-9.18914988814318,13.1695555555556,-12.5636666666667,14.5762222222222,-15.2981111111111,13.0807777777778,-18.4934444444444
28.8,10.523,-9.92833333333333,9.736,-9.49004474272931,14.6973333333333,-11.5434004474273,18.9048888888889,-14.149,16.1854761904762,-17.5196551724138
32.4,11.0928888888889,-8.83177777777778,9.75211111111111,-8.64233333333333,15.5073333333333,-10.1032222222222,20.0994444444444,-14.73,18.3032222222222,-17.5487777777778
36,12.8554421768707,-8.32677777777778,10.9259637188209,-8.11322222222222,15.4753333333333,-10.7154444444444,21.6942222222222,-13.3062222222222,18.1622222222222,-15.7183333333333
39.6,12.5636666666667,-7.60655555555556,11.4264444444444,-7.24022222222222,16.7656666666667,-9.09722222222222,25.3006666666667,-12.9696666666667,20.8087777777778,-12.4872222222222
